Designator,Mid X,Mid Y,Rotation,Layer
D1,181.61,-88.147,90.0,bottom
D2,179.324,-87.9745,90.0,bottom
D3,183.896,-87.9745,90.0,bottom
J2,170.428,-88.265,0.0,bottom
Q1,173.677,-97.282,270.0,top
Q2,178.342,-97.282,270.0,top
Q3,183.007,-97.282,270.0,top
R10,181.584,-83.947,0.0,top
R11,181.584,-87.257,0.0,top
R12,167.233,-99.187,0.0,top
R13,167.259,-102.997,0.0,top
R14,166.979,-108.585,0.0,top
R4,175.634,-83.947,0.0,top
R5,175.634,-87.257,0.0,top
R6,175.634,-90.567,0.0,top
R7,181.558,-90.575,0.0,top
R8,148.489,-91.821,0.0,top
R9,148.336,-94.623,0.0,top
SW1,160.564,-117.411,270.0,top
SW2,150.564,-117.411,270.0,top
SW3,140.564,-117.411,270.0,top
SW4,130.564,-117.411,270.0,top
SW6,116.078,-117.221,270.0,top
U1,144.934,-97.341,0.0,top
